Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de la direcció de serveis del departament d’adscripció de l’EntitatDirectora de Serveis del Departament de la Presidència;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de la direcció de serveis del departament d’adscripció de l’Entitat;Vocal;Directora de Serveis del Departament de la Presidència;directora de Serveis;35;;Direcció de Serveis;Àgata Solernou Viñolas;
Fundació Casa Amèrica CatalunyaPatró designat per l'Administració de la Generalitat de CatalunyaSecretari d’Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;Fundació Casa Amèrica Catalunya;UEX - Departament d'Unió Europea i Acció Exterior;Patró designat per l'Administració de la Generalitat de Catalunya;Vicepresident/a tercer;Secretari d’Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;Secretari d'Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;13801;Govern de la Generalitat de Catalunya;Secretaria d'Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;Agustí Fernández de Losada Passols;
Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA)Patró designat pel titular del departament de la Generalitat competent en matèria de salutDirectora general de Planificació del Departament de Salut de la Generalitat de Catalunya;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);REU - Departament de Recerca i Universitats;Patró designat pel titular del departament de la Generalitat competent en matèria de salut;Vocal;Directora general de Planificació del Departament de Salut de la Generalitat de Catalunya;directora general de Planificació en Salut;19031;;Direcció General de Planificació en Salut;Aina Plaza Tesías;
Consorci Administració Oberta de CatalunyaPresident. El titutar del departament competent en matèria de Governació i Rel. InstitucionalsConseller del Departament de la Presidència;Consorci Administració Oberta de Catalunya;PRE - Departament de la Presidència;President. El titutar del departament competent en matèria de Governació i Rel. Institucionals;President/a;Conseller del Departament de la Presidència;Conseller de la Presidència;6;;Departament de la Presidència;Albert Dalmau Miranda;
Consorci Parc de Recerca Biomèdica de Barcelona (PRBB)Representant de la Generalitat designat pel titular del departament competent en matèria d'economiaDirector General de Fons Europeus i Ajuts d'Estat del departament d'Economia i Hisenda;Consorci Parc de Recerca Biomèdica de Barcelona (PRBB);REU - Departament de Recerca i Universitats;Representant de la Generalitat designat pel titular del departament competent en matèria d'economia;Vocal;Director General de Fons Europeus i Ajuts d'Estat del departament d'Economia i Hisenda;Director general de Fons Europeus i Ajuts d'Estat;21707;Consellera d'Economia i Hisenda;Direcció General de Fons Europeus i Ajuts d'Estat;Aleix Cubells Barceló;
Centre d'Atenció i Gestió de Trucades d'Urgència 112 CatalunyaDirector/a del Servei Català de la SalutDirector del Servei Català de la Salut (CatSalut);Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya;ISP - Departament d'Interior i Seguretat Pública;Director/a del Servei Català de la Salut;Vocal;Director del Servei Català de la Salut (CatSalut);director del Servei Català de la Salut;3009;;Servei Català de la Salut (CatSalut);Alfredo García Díaz;
Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en AnglèsLa persona titular del departament de la Generalitat competent en matèria d'economiaConsellera del Departament d'Economia i Finances;Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en Anglès;ECF - Departament d'Economia i Finances;La persona titular del departament de la Generalitat competent en matèria d'economia;President/a;Consellera del Departament d'Economia i Finances;Consellera d'Economia i Finances;19772;;Departament d'Economia i Finances;Alícia Romero Llano;
Institut d'Estadística de CatalunyaPresident/a de l'Idescat,que és el/la conseller/a del depart. competent en matèria de gestió de SECConsellera del Departament d’Economia i Finances;Institut d'Estadística de Catalunya;ECF - Departament d'Economia i Finances;President/a de l'Idescat,que és el/la conseller/a del depart. competent en matèria de gestió de SEC;President/a;Consellera del Departament d’Economia i Finances;Consellera d'Economia i Finances;19772;President de la Generalitat de Catalunya;Departament d'Economia i Finances;Alícia Romero Llano;
Biocat, la Fundació BioRegió de CatalunyaEl/la titular del Departament competent en matèria d'economiaConsellera d’Economia i Finances;Biocat, la Fundació BioRegió de Catalunya;SLT - Departament de Salut;El/la titular del Departament competent en matèria d'economia;Vocal;Consellera d’Economia i Finances;Consellera d'Economia i Finances;19772;;Departament d'Economia i Finances;Alícia Romero Llano;
Consorci Casa ÀsiaMembre en representació de la Generalitat de CatalunyaConsellera d’Economia i Hisenda;Consorci Casa Àsia;UEX - Departament d'Unió Europea i Acció Exterior;Membre en representació de la Generalitat de Catalunya;Membre;Consellera d’Economia i Hisenda;Consellera d'Economia i Finances;19772;Govern de la Generalitat de Catalunya;Departament d'Economia i Finances;Alícia Romero Llano;
Consorci Intermunicipal de Vila-Seca i de SalouTitular del departament de la Generalitat de Catalunya competent en matèria d'economiaConsellera d’Economia i Hisenda;Consorci Intermunicipal de Vila-Seca i de Salou;ECF - Departament d'Economia i Finances;Titular del departament de la Generalitat de Catalunya competent en matèria d'economia;President/a;Consellera d’Economia i Hisenda;Consellera d'Economia i Finances;19772;President de la Generalitat de Catalunya;Departament d'Economia i Finances;Alícia Romero Llano;
Institut Cartogràfic i Geològic de CatalunyaLa direcció de l'Institut Cartogràfic i Geològic de CatalunyaDirecció de l'Institut Cartogràfic i Geològic de Catalunya;Institut Cartogràfic i Geològic de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;La direcció de l'Institut Cartogràfic i Geològic de Catalunya;Vocal;Direcció de l'Institut Cartogràfic i Geològic de Catalunya;director de l'Institut Cartogràfic i Geològic de Catalunya;19281;Govern de la Generalitat de Catalunya;Institut Cartogràfic i Geològic de Catalunya (ICGC);Antonio Magariños Varo;
Agència Catalana de TurismeEl director o directora de l'Agència Catalana de TurismeDirector de l'Agència Catalana de Turisme;Agència Catalana de Turisme;EMT - Departament d'Empresa i Treball;El director o directora de l'Agència Catalana de Turisme;Membre;Director de l'Agència Catalana de Turisme;directora de l'Agència Catalana de Turisme;5660;;Agència Catalana de Turisme (ACT);Arantxa Calvera Cosculluela;
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la MobilitatVocal en representació de la Generalitat a proposta de VPDSub-director general de Transport Públic i Mobilitat;Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocal en representació de la Generalitat a proposta de VPD;Vocal;Sub-director general de Transport Públic i Mobilitat;subdirector general de Transport Públic per Carretera i Mobilitat;16052;Conseller/a de Territori i Sostenibilitat;Subdirecció General de Transport Públic per Carretera i Mobilitat;Benjamín Cubillo Vidal;
Institut Nacional d'Educació Física de CatalunyaPresident/a - titular del departament al qual és adscrita la Secretaria General de l’EsportConseller del Departament d'Esports;Institut Nacional d'Educació Física de Catalunya;ESP - Departament d'Esports;President/a - titular del departament al qual és adscrita la Secretaria General de l’Esport;President/a;Conseller del Departament d'Esports;Conseller d'Esports;23459;;Departament d'Esports;Bernardo Álvarez Merino;
Infraestructures Ferroviàries de CatalunyaVocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviariPresident de Ferrocarrils de la Generalitat de Catalunya;Infraestructures Ferroviàries de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviari;Vocal;President de Ferrocarrils de la Generalitat de Catalunya;president del Consell d'Administració de Ferrocarrils de la Generalitat de Catalunya;3608;Govern de la Generalitat de Catalunya;Ferrocarrils de la Generalitat de Catalunya (FGC);Carles Ruiz Novella;
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de la Direcció General de l'EADOP, amb veu i sense votDirectora general de l'EADOP;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de la Direcció General de l'EADOP, amb veu i sense vot;Vocal;Directora general de l'EADOP;Directora general de l'Entitat Autònoma del Diari Oficial i de Publicacions;90;;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya (EADOP);Carme Carmona Pascual;
Agència de l'Habitatge de CatalunyaPersones que determini el Govern en representació de la Generalitat i entitats relacionadesSecretària d'Afers Socials i Famílies;Agència de l'Habitatge de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Persones que determini el Govern en representació de la Generalitat i entitats relacionades;Vocal;Secretària d'Afers Socials i Famílies;secretària d'Afers Socials i Inclusió;19800;Govern de la Generalitat de Catalunya;Secretaria d'Afers Socials i Inclusió;Carolina Antonia Homar Cruz;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretària general del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretària general del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;secretària general d'Agricultura, Ramaderia, Pesca i Alimentació;4169;Govern de la Generalitat de Catalunya;Secretaria General d'Agricultura, Ramaderia, Pesca i Alimentació;Cristina Massot Berna;
Institut Català d'Energia (ICAEN)Vocals en representació de l’Administració de la GeneralitatDirector General d’Energies Renovables Públiques de Catalunya, SAU;Institut Català d'Energia (ICAEN);TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals en representació de l’Administració de la Generalitat;Vocal;Director General d’Energies Renovables Públiques de Catalunya, SAU;Director general;23019;Govern de la Generalitat de Catalunya;Direcció General d'Energies Renovables Públiques de Catalunya (L'Energètica);Daniel Pérez Rodríguez;
Institut Català d'Energia (ICAEN)Vocals en representació de l’Administració de la GeneralitatDirector General d’Anàlisi i Prospectiva Econòmica;Institut Català d'Energia (ICAEN);TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals en representació de l’Administració de la Generalitat;Vocal;Director General d’Anàlisi i Prospectiva Econòmica;Director general d'Anàlisi i Prospectiva Econòmica;19793;Govern de la Generalitat de Catalunya;Direcció General d'Anàlisi i Prospectiva Econòmica;David Lizoain Bennett;
Centre d'Alt Rendiment Esportiu (CAR)La persona titular de la direcció de l'Institut Nacional d'Educació Física de CatalunyaDirector de l'INEFC;Centre d'Alt Rendiment Esportiu (CAR);ESP - Departament d'Esports;La persona titular de la direcció de l'Institut Nacional d'Educació Física de Catalunya;Vocal;Director de l'INEFC;Director de l'Institut Nacional d'Educació Física de Catalunya;2612;;Institut Nacional d'Educació Física de Catalunya (INEFC);Eduard Inglés Yuba;
Institut Nacional d'Educació Física de CatalunyaEl/la director/a de l’INEFCDirector de l'INEFC;Institut Nacional d'Educació Física de Catalunya;ESP - Departament d'Esports;El/la director/a de l’INEFC;Vocal;Director de l'INEFC;Director de l'Institut Nacional d'Educació Física de Catalunya;2612;;Institut Nacional d'Educació Física de Catalunya (INEFC);Eduard Inglés Yuba;
Centre d'Iniciatives per a la ReinsercióEl/la vicepresident/a titular de la unitat directiva competent en matèria de serveis penitenciarisSecretària de Mesures Penals, Reinserció i Atenció a la Víctima;Centre d'Iniciatives per a la Reinserció;JUS - Departament de Justícia i Qualitat Democràtica;El/la vicepresident/a titular de la unitat directiva competent en matèria de serveis penitenciaris;Vicepresident/a;Secretària de Mesures Penals, Reinserció i Atenció a la Víctima;secretària de Mesures Penals i Reinserció;20919;Conseller/a de Justícia;Secretaria de Mesures Penals i Reinserció;Elena Pérez Fernández;
Centre d'Estudis Jurídics i Formació EspecialitzadaAlts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.Secretària de Mesures Penals, Reinserció i Atenció a la Víctima;Centre d'Estudis Jurídics i Formació Especialitzada;JUS - Departament de Justícia i Qualitat Democràtica;Alts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.;Vocal;Secretària de Mesures Penals, Reinserció i Atenció a la Víctima;secretària de Mesures Penals i Reinserció;20919;Conseller/a de Justícia;Secretaria de Mesures Penals i Reinserció;Elena Pérez Fernández;
Institut Cartogràfic i Geològic de CatalunyaProfessionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidènciaTitular de la Direcció General d’Ordenació del Territori, Urbanisme i Arquitectura;Institut Cartogràfic i Geològic de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Professionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidència;Vocal;Titular de la Direcció General d’Ordenació del Territori, Urbanisme i Arquitectura;directora general d'Ordenació del Territori, Urbanisme i Arquitectura;18287;Titular del departament amb competències en política territorial, urbanisme i obra pública;Direcció General d'Ordenació del Territori, Urbanisme i Arquitectura;Elisabet Cirici Amell;
Institut Català del Sòl (INCASÒL)Representants de la Generalitat que assenyali el GovernDirectora general d'Ordenació del Territori i Urbanisme;Institut Català del Sòl (INCASÒL);TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat que assenyali el Govern;Vocal;Directora general d'Ordenació del Territori i Urbanisme;directora general d'Ordenació del Territori, Urbanisme i Arquitectura;18287;Govern de la Generalitat de Catalunya;Direcció General d'Ordenació del Territori, Urbanisme i Arquitectura;Elisabet Cirici Amell;
Consorci de l'Observatori del PaisatgeAdministració de la Generalitat de CatalunyaDirector general d'Ordenació del Territori i Urbanisme;Consorci de l'Observatori del Paisatge;TER - Departament de Territori, Habitatge i Transició Ecològica;Administració de la Generalitat de Catalunya;Vicepresident/a;Director general d'Ordenació del Territori i Urbanisme;directora general d'Ordenació del Territori, Urbanisme i Arquitectura;18287;;Direcció General d'Ordenació del Territori, Urbanisme i Arquitectura;Elisabet Cirici Amell;
Agència de l'Habitatge de CatalunyaPersones que determini el Govern en representació de la Generalitat i entitats relacionadesDirector general d'Ordenació del Territori i Urbanisme;Agència de l'Habitatge de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Persones que determini el Govern en representació de la Generalitat i entitats relacionades;Vocal;Director general d'Ordenació del Territori i Urbanisme;directora general d'Ordenació del Territori, Urbanisme i Arquitectura;18287;Govern de la Generalitat de Catalunya;Direcció General d'Ordenació del Territori, Urbanisme i Arquitectura;Elisabet Cirici Amell;
Consorci per a la reforma de la Granvia i del Samontà a l'Hospitalet de LlobregatVocal repr dept en mat d'ord del territ i urban amb rang orgànic mín director/a g, o d'un altre deptDirector General d'Ordenació del Territori i Urbanisme;Consorci per a la reforma de la Granvia i del Samontà a l'Hospitalet de Llobregat;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocal repr dept en mat d'ord del territ i urban amb rang orgànic mín director/a g, o d'un altre dept;Vocal;Director General d'Ordenació del Territori i Urbanisme;directora general d'Ordenació del Territori, Urbanisme i Arquitectura;18287;Conseller de Territori;Direcció General d'Ordenació del Territori, Urbanisme i Arquitectura;Elisabet Cirici Amell;
Agència de Residus de CatalunyaRepresentants de la GeneralitatSecretari de Salut Pública del Departament de Salut;Agència de Residus de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Representants de la Generalitat;Vocal;Secretari de Salut Pública del Departament de Salut;Secretari de Salut Pública;19029;Govern de la Generalitat de Catalunya;Secretaria de Salut Pública;Esteve Fernández Muñoz;
Centre d'Alt Rendiment Esportiu (CAR)Una representant del dpt. competent en matèria de salut amb rang orgànic mínim de direcció generalSecretari de Salut Pública del Departament de Salut;Centre d'Alt Rendiment Esportiu (CAR);ESP - Departament d'Esports;Una representant del dpt. competent en matèria de salut amb rang orgànic mínim de direcció general;Vocal;Secretari de Salut Pública del Departament de Salut;Secretari de Salut Pública;19029;Govern de la Generalitat de Catalunya;Secretaria de Salut Pública;Esteve Fernández Muñoz;
Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de BarcelonaVocals en representació de la Generalitat de CatalunyaDirectora general de Pressupostos de la Generalitat de Catalunya;Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de Barcelona;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals en representació de la Generalitat de Catalunya;Vocal;Directora general de Pressupostos de la Generalitat de Catalunya;Directora general de Pressupostos;1300;Govern de la Generalitat de Catalunya;Direcció General de Pressupostos;Esther Pallarols Llinàs;
Fundació Privada I2CAT, Internet i Innovació Digital a CatalunyaVicepresident/a segon/a. Secretari/ària General competent en telecomunicacions i polítiques digitalsSecretària General del Departament de la Presidència;Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya;PRE - Departament de la Presidència;Vicepresident/a segon/a. Secretari/ària General competent en telecomunicacions i polítiques digitals;Vicepresident/a segon;Secretària General del Departament de la Presidència;Secretària general de la Presidència;14;article 10.1.iv;Secretaria General de la Presidència;Eva Giménez Corrons;
Servei Públic d'Ocupació de CatalunyaEl/la vicepresident/a, que és el/la secretari/ària competent en matèria d’ocupacióSecretari de Treball del Departament d'Empresa i Treball;Servei Públic d'Ocupació de Catalunya;EMT - Departament d'Empresa i Treball;El/la vicepresident/a, que és el/la secretari/ària competent en matèria d’ocupació;Vicepresident/a;Secretari de Treball del Departament d'Empresa i Treball;Secretari de Treball;21662;;Secretaria de Treball;Francisco Ramos Martín;
Centre d'Estudis Jurídics i Formació EspecialitzadaAlts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.Secretària per a l'Administració de Justícia del Departament de Justícia, Drets i Memòria;Centre d'Estudis Jurídics i Formació Especialitzada;JUS - Departament de Justícia i Qualitat Democràtica;Alts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.;Vocal;Secretària per a l'Administració de Justícia del Departament de Justícia, Drets i Memòria;secretària per a l'Administració de Justícia;15771;Conseller/a de Justícia;Secretaria per a l'Administració de Justícia;Iolanda M. Aguilar Juncosa;
Agència Catalana del ConsumEl/la director/a nomenat pel Govern, a proposta del conseller/a del dept. matèria de consumDirector de l'Agència Catalana del Consum;Agència Catalana del Consum;EMT - Departament d'Empresa i Treball;El/la director/a nomenat pel Govern, a proposta del conseller/a del dept. matèria de consum;Vocal;Director de l'Agència Catalana del Consum;director de l'Agència Catalana del Consum (ACC);14299;;Agència Catalana del Consum (ACC);Isidor García Sánchez;
Agència de l'Habitatge de CatalunyaPersones que determini el Govern en representació de la Generalitat i entitats relacionadesDirector de l'Agència Catalana del Consum;Agència de l'Habitatge de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Persones que determini el Govern en representació de la Generalitat i entitats relacionades;Vocal;Director de l'Agència Catalana del Consum;director de l'Agència Catalana del Consum (ACC);14299;Govern de la Generalitat de Catalunya;Agència Catalana del Consum (ACC);Isidor García Sánchez;
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)La vicepresidència segona, designada pel president/a entre les persones repr. de la GeneralitatTitular de la Secretaria d'Empresa i Competitivitat;Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE);EMT - Departament d'Empresa i Treball;La vicepresidència segona, designada pel president/a entre les persones repr. de la Generalitat;Vicepresident/a segon;Titular de la Secretaria d'Empresa i Competitivitat;secretari d'Empresa i Competitivitat;19035;Govern de la Generalitat de Catalunya;Secretaria d'Empresa i Competitivitat;Jaume Baró Torres;
Consorci Casa ÀsiaMembre en representació de la Generalitat de CatalunyaConseller d'Acció Exterior i Govern Obert;Consorci Casa Àsia;UEX - Departament d'Unió Europea i Acció Exterior;Membre en representació de la Generalitat de Catalunya;Membre;Conseller d'Acció Exterior i Govern Obert;Conseller d'Unió Europea i Acció Exterior;19769;Govern de la Generalitat de Catalunya;Departament d'Unió Europea i Acció Exterior;Jaume Duch Guillot;
Agència Catalana de Cooperació al DesenvolupamentPresident/a, que és la persona titular del departament competent en matèria d'acció exterior.Conseller d'Acció Exterior i Govern Obert;Agència Catalana de Cooperació al Desenvolupament;UEX - Departament d'Unió Europea i Acció Exterior;President/a, que és la persona titular del departament competent en matèria d'acció exterior.;President/a;Conseller d'Acció Exterior i Govern Obert;Conseller d'Unió Europea i Acció Exterior;19769;;Departament d'Unió Europea i Acció Exterior;Jaume Duch Guillot;
Consorci Catalunya InternacionalLa Vicepresidència, que correspon a la persona titular del departament competent en l'àmbit de l'accConseller del Departament d’Unió Europea i Acció Exterior;Consorci Catalunya Internacional;UEX - Departament d'Unió Europea i Acció Exterior;La Vicepresidència, que correspon a la persona titular del departament competent en l'àmbit de l'acc;Vicepresident/a;Conseller del Departament d’Unió Europea i Acció Exterior;Conseller d'Unió Europea i Acció Exterior;19769;;Departament d'Unió Europea i Acció Exterior;Jaume Duch Guillot;
Consorci Institut Europeu de la MediterràniaVicepresident/a 3r que serà designat/da per l'Administració de la Generalitat de CatalunyaConseller d'Acció Exterior i Govern Obert;Consorci Institut Europeu de la Mediterrània;UEX - Departament d'Unió Europea i Acció Exterior;Vicepresident/a 3r que serà designat/da per l'Administració de la Generalitat de Catalunya;Vicepresident/a tercer;Conseller d'Acció Exterior i Govern Obert;Conseller d'Unió Europea i Acció Exterior;19769;Govern de la Generalitat de Catalunya;Departament d'Unió Europea i Acció Exterior;Jaume Duch Guillot;
Consorci de l'Habitatge de BarcelonaMembre en representació de la Generalitat de CatalunyaSubdirector General de Promoció d’Habitatge Protegit i de Sòl Residencial Associat de l’AHC;Consorci de l'Habitatge de Barcelona;TER - Departament de Territori, Habitatge i Transició Ecològica;Membre en representació de la Generalitat de Catalunya;Membre;Subdirector General de Promoció d’Habitatge Protegit i de Sòl Residencial Associat de l’AHC;subdirector general de Promoció d'Habitatge Protegit i de Sòl Residencial Associat;14181;Govern de la Generalitat de Catalunya;Subdirecció General de Promoció d'Habitatge Protegit i de Sòl Residencial Associat;Jaume Fornt Paradell;
Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI)Membre designat per la persona titular del departament competent en matèria de salutGerent de la Regió Sanitària de Girona del SCS;Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI);SLT - Departament de Salut;Membre designat per la persona titular del departament competent en matèria de salut;Patró;Gerent de la Regió Sanitària de Girona del SCS;gerent de la Regió Sanitària Girona;3056;Conseller/a de Salut;Regió Sanitària Girona;Jaume Heredia Quicios;
Institut Cartogràfic i Geològic de CatalunyaProfessionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidènciaDirector de l'Institut Català de Sòl;Institut Cartogràfic i Geològic de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Professionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidència;Vocal;Director de l'Institut Català de Sòl;director general de l'Institut Català del Sòl;3738;Titular del departament amb competències en política territorial, urbanisme i obra pública;Institut Català del Sòl (INCASOL);Jaume Vendrell Amat;
Fundació Catalana per a la Recerca i la Innovació (FCRi)Patró designat pel/per la titular departament de la Generalitat competent en recerca, innov.i uniDirector general de transferència i societat del coneixement;Fundació Catalana per a la Recerca i la Innovació (FCRi);REU - Departament de Recerca i Universitats;Patró designat pel/per la titular departament de la Generalitat competent en recerca, innov.i uni;Vocal;Director general de transferència i societat del coneixement;Director General;21650;Conselleria competent en recerca;Direcció General de Transferència i Societat del Coneixement;Javier Selva Sánchez;
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitatsDirector general de Transferència i Societat del Coneixement;Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR);REU - Departament de Recerca i Universitats;Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitats;Vocal;Director general de Transferència i Societat del Coneixement;Director General;21650;Govern de la Generalitat de Catalunya;Direcció General de Transferència i Societat del Coneixement;Javier Selva Sánchez;
Agència per a la Competitivitat de l’EmpresaVocal a proposta del departament competent en matèria de recercaDirector general de Transferència i Societat del Coneixement;Agència per a la Competitivitat de l’Empresa;EMT - Departament d'Empresa i Treball;Vocal a proposta del departament competent en matèria de recerca;Vocal;Director general de Transferència i Societat del Coneixement;Director General;21650;Conseller/a d'Empresa i Treball;Direcció General de Transferència i Societat del Coneixement;Javier Selva Sánchez;
Institut de Recerca Biomèdica de Lleida, Fundació Dr. PifarréMembre designat pel titular del departament de la Generalitat competent en matèria de recercaDirector general de Transferència i Societat del Coneixement;Institut de Recerca Biomèdica de Lleida, Fundació Dr. Pifarré;SLT - Departament de Salut;Membre designat pel titular del departament de la Generalitat competent en matèria de recerca;Patró;Director general de Transferència i Societat del Coneixement;Director General;21650;Conseller/a competent en matèria de recerca;Direcció General de Transferència i Societat del Coneixement;Javier Selva Sánchez;
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaEl/la president/a, que és la persona titular de la Secretaria del GovernSecretari de Govern;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;El/la president/a, que és la persona titular de la Secretaria del Govern;President/a;Secretari de Govern;Secretari del Govern;10828;;Secretaria del Govern;Javier Villamayor Caamaño;
Institut Català de la Vinya i el ViEl/la director/a de l'InstitutDirector de l'Institut Català de la Vinya i el Vi;Institut Català de la Vinya i el Vi;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;El/la director/a de l'Institut;Membre;Director de l'Institut Català de la Vinya i el Vi;director de l'Institut Català de la Vinya i el Vi (INCAVI);4450;;Institut Català de la Vinya i el Vi (INCAVI);Joan Gené Albesa;
Institut Català de les Empreses CulturalsVocal en representació del departament competent en matèria d'indústria i de comerçDirector executiu d'ACCIÓ;Institut Català de les Empreses Culturals;CLT - Departament de Cultura;Vocal en representació del departament competent en matèria d'indústria i de comerç;Vocal;Director executiu d'ACCIÓ;director executiu de l'Agència per a la Competitivitat de l'Empresa;22091;Conseller/a de Cultura;Direcció Executiva de l'Agència per a la Competitivitat de l'Empresa;Joan Romero Circuns;
Consorci del Centre de Terminologia TermcatPresident/a, que és el/la secretari/ària de Política Lingüística o persona en qui deleguiSecretari general del Departament de Política Lingüística;Consorci del Centre de Terminologia Termcat;PLG - Departament de Política Lingüística;President/a, que és el/la secretari/ària de Política Lingüística o persona en qui delegui;President/a;Secretari general del Departament de Política Lingüística;Secretari general;23515;Conseller/a de Cultura;Secretaria General de Política Lingüística;Joan Santanach Suñol;
Consorci de l'Institut Ramon LlullRepresentants de l'Administració de la Generalitat de Catalunya designats pel GovernSecretari General del Departament de Política Lingüistica;Consorci de l'Institut Ramon Llull;CLT - Departament de Cultura;Representants de l'Administració de la Generalitat de Catalunya designats pel Govern;Vocal;Secretari General del Departament de Política Lingüistica;Secretari general;23515;Govern de la Generalitat de Catalunya;Secretaria General de Política Lingüística;Joan Santanach Suñol;
Oficina de Suport a la Iniciativa CulturalPersones representants direccions generals en què s'estructura departament comp en matèria culturaSecretari general del Departament de Política Lingüística;Oficina de Suport a la Iniciativa Cultural;CLT - Departament de Cultura;Persones representants direccions generals en què s'estructura departament comp en matèria cultura;Vocal;Secretari general del Departament de Política Lingüística;Secretari general;23515;;Secretaria General de Política Lingüística;Joan Santanach Suñol;
Consorci Museu d'Art Contemporani de BarcelonaVocals designats per la Generalitat de CatalunyaDirector general de Patrimoni Cultural;Consorci Museu d'Art Contemporani de Barcelona;CLT - Departament de Cultura;Vocals designats per la Generalitat de Catalunya;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller/a de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Oficina de Suport a la Iniciativa CulturalPersones representants direccions generals en què s'estructura departament comp en matèria culturaDirector general de Patrimoni Cultural;Oficina de Suport a la Iniciativa Cultural;CLT - Departament de Cultura;Persones representants direccions generals en què s'estructura departament comp en matèria cultura;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller/a de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
