Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Consorci de Comerç, Artesania i Moda de CatalunyaEl director/a del Consorci de Comerç, Artesania i Moda de Catalunya, amb veu i sense votDirector del Consorci de Comerç, Artesania i Moda de Catalunya;Consorci de Comerç, Artesania i Moda de Catalunya;EMT - Departament d'Empresa i Treball;El director/a del Consorci de Comerç, Artesania i Moda de Catalunya, amb veu i sense vot;Vocal;Director del Consorci de Comerç, Artesania i Moda de Catalunya;director del Consorci de Comerç, Artesania i Moda de Catalunya;17437;;Consorci de Comerç, Artesania i Moda de Catalunya (CCAM);Moisés Rodríguez Cantón;
Consorci de Serveis Socials de BarcelonaPresident/a que serà el conseller/a de Drets SocialsConsellera de Drets Socials i Inclusió;Consorci de Serveis Socials de Barcelona;DSI - Departament de Drets Socials i Inclusió;President/a que serà el conseller/a de Drets Socials;President/a;Consellera de Drets Socials i Inclusió;consellera de Drets Socials i Inclusió;19774;;consellera de Drets Socials i Inclusió;Mónica Martínez Bravo;
Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en AnglèsLa persona titular de la DG Generalitat competent en matèria de centres educatius no universitarisDirectora general de Centres Públics;Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en Anglès;ECF - Departament d'Economia i Finances;La persona titular de la DG Generalitat competent en matèria de centres educatius no universitaris;Membre;Directora general de Centres Públics;Directora general de Centres Públics;18121;;Direcció General de Centres Públics;Montserrat Duran Tauleria;
Consorci Parc de Recerca Biomèdica de Barcelona (PRBB)Representant de la Generalitat designat pel titular del departament competent en matèria de salutSubdirectora general de Recerca i Innovació en Salut;Consorci Parc de Recerca Biomèdica de Barcelona (PRBB);REU - Departament de Recerca i Universitats;Representant de la Generalitat designat pel titular del departament competent en matèria de salut;Vocal;Subdirectora general de Recerca i Innovació en Salut;subdirectora general de Recerca i Innovació en Salut;17052;Conseller de Salut;Subdirecció General de Recerca i Innovació en Salut;Montserrat Llavayol Giralt;
Agència Tributària de CatalunyaVocal nat - alt càrrec encarregat de l'òrgan del Govern competent en matèria de tributsDirectora general de Tributs i Joc;Agència Tributària de Catalunya;ECF - Departament d'Economia i Finances;Vocal nat - alt càrrec encarregat de l'òrgan del Govern competent en matèria de tributs;Vocal;Directora general de Tributs i Joc;Directora general de Tributs i Joc;1344;;Direcció General de Tributs i Joc;Natàlia Caba Serra;
Fundació Catalana per a la Recerca i la Innovació (FCRi)Titular del dept de l'Admin de la GC amb competència en matèria de recerca o la persona que designiConsellera de Recerca i Universitats;Fundació Catalana per a la Recerca i la Innovació (FCRi);REU - Departament de Recerca i Universitats;Titular del dept de l'Admin de la GC amb competència en matèria de recerca o la persona que designi;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;Conselleria de Recerca i Universitats;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Institut de Recerca i Tecnologia Agroalimentàries (IRTA)El/la Vicepresident/a - conseller/a del departament competent en matèria de recerca i universitatsConsellera de Recerca i Universitats;Institut de Recerca i Tecnologia Agroalimentàries (IRTA);ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;El/la Vicepresident/a - conseller/a del departament competent en matèria de recerca i universitats;Vicepresident/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Consorci de Serveis Universitaris de Catalunya (CSUC)Conseller/a del departament competent en matèria d'universitats o persona que designiConsellera de Recerca i Universitats;Consorci de Serveis Universitaris de Catalunya (CSUC);REU - Departament de Recerca i Universitats;Conseller/a del departament competent en matèria d'universitats o persona que designi;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Consorci per a la construcció, equipament i explotació del Laboratori de Llum SincrotróDepartament de Recerca i UniversitatsConsellera de Recerca i Universitats;Consorci per a la construcció, equipament i explotació del Laboratori de Llum Sincrotró;REU - Departament de Recerca i Universitats;Departament de Recerca i Universitats;Vicepresident/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Institut de Recerca Biomèdica de Lleida, Fundació Dr. PifarréEl/la titular del departament de la Generalitat competent en matèria de recercaConsellera de Recerca i Universitats;Institut de Recerca Biomèdica de Lleida, Fundació Dr. Pifarré;SLT - Departament de Salut;El/la titular del departament de la Generalitat competent en matèria de recerca;Vicepresident/a primer;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Fundació Institut de Recerca contra la Leucèmia Josep CarrerasEl/la titular del departament de la Generalitat competent en matèria de recercaConsellera de Recerca i Universitats;Fundació Institut de Recerca contra la Leucèmia Josep Carreras;SLT - Departament de Salut;El/la titular del departament de la Generalitat competent en matèria de recerca;Vicepresident/a segon;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Fundació Institut de Ciències Fotòniques (ICFO)Conseller/a del departament de la Generalitat en matèria de recerca que en serà presidentConsellera de Recerca i Universitats;Fundació Institut de Ciències Fotòniques (ICFO);REU - Departament de Recerca i Universitats;Conseller/a del departament de la Generalitat en matèria de recerca que en serà president;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Consorci Porta Diagonal - Campus ClínicLa persona titular del departament competent en matèria de recerca i universitatsConsellera de Recerca i Universitats;Consorci Porta Diagonal - Campus Clínic;PRE - Departament de la Presidència;La persona titular del departament competent en matèria de recerca i universitats;Membre;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;Govern de la Generalitat de Catalunya;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Institut de Física d'Altes Energies (IFAE)La persona titular del departament de la Generalitat competent en recerca, que en serà el presidentConsellera de Recerca i Universitats;Institut de Física d'Altes Energies (IFAE);REU - Departament de Recerca i Universitats;La persona titular del departament de la Generalitat competent en recerca, que en serà el president;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Consorci Parc de Recerca Biomèdica de Barcelona (PRBB)La presidència que correspon a la persona titular del departament competent en matèria de recercaConsellera de Recerca i Universitats;Consorci Parc de Recerca Biomèdica de Barcelona (PRBB);REU - Departament de Recerca i Universitats;La presidència que correspon a la persona titular del departament competent en matèria de recerca;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Centre de Recerca en Economia Internacional (CREI)El/la conseller/a del departament competent en matèria de recerca, o la persona en qui deleguiConsellera de Recerca i Universitats;Centre de Recerca en Economia Internacional (CREI);REU - Departament de Recerca i Universitats;El/la conseller/a del departament competent en matèria de recerca, o la persona en qui delegui;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Centre de Recerca Matemàtica (CRM)La presidència, que correspon al conseller/a competent en matèria de recerca, o en qui deleguiConsellera de Recerca i Universitats;Centre de Recerca Matemàtica (CRM);REU - Departament de Recerca i Universitats;La presidència, que correspon al conseller/a competent en matèria de recerca, o en qui delegui;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Institut Català d'Arqueologia ClàssicaEl president, que serà la persona titular del departament competent en matèria de recercaConsellera de Recerca i Universitats;Institut Català d'Arqueologia Clàssica;REU - Departament de Recerca i Universitats;El president, que serà la persona titular del departament competent en matèria de recerca;President/a;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Consorci per a l’explotació del Centre Nacional d’Anàlisi Genòmica (CNAG)La persona titular del Departament compet en matèria de recerca, o persona que designiConsellera de Recerca i Universitats;Consorci per a l’explotació del Centre Nacional d’Anàlisi Genòmica (CNAG);REU - Departament de Recerca i Universitats;La persona titular del Departament compet en matèria de recerca, o persona que designi;;Consellera de Recerca i Universitats;consellera de Recerca i Universitats;21648;;Departament de Recerca i Universitats;Núria Montserrat Pulido;
Servei Català de TrànsitLa Presidència que correspon a la persona titular del Departament d'InteriorConsellera d'Interior i Seguretat Pública;Servei Català de Trànsit;ISP - Departament d'Interior i Seguretat Pública;La Presidència que correspon a la persona titular del Departament d'Interior;President/a;Consellera d'Interior i Seguretat Pública;consellera d'Interior i Seguretat Pública;13760;;Departament d'Interior i Seguretat Pública;Núria Parlon Gil;
Institut de Seguretat Pública de CatalunyaPresident/a de l'ISPC que serà el conseller/a competent en seguretat públicaConsellera d'Interior i Seguretat Pública;Institut de Seguretat Pública de Catalunya;ISP - Departament d'Interior i Seguretat Pública;President/a de l'ISPC que serà el conseller/a competent en seguretat pública;President/a;Consellera d'Interior i Seguretat Pública;consellera d'Interior i Seguretat Pública;13760;;Departament d'Interior i Seguretat Pública;Núria Parlon Gil;
Patronat de la Muntanya de MontserratEl/la conseller/a del departament competent en matèria de seguretatConsellera d'Interior i Seguretat Pública;Patronat de la Muntanya de Montserrat;PRE - Departament de la Presidència;El/la conseller/a del departament competent en matèria de seguretat;Vocal;Consellera d'Interior i Seguretat Pública;consellera d'Interior i Seguretat Pública;13760;;Departament d'Interior i Seguretat Pública;Núria Parlon Gil;
Centre d'Atenció i Gestió de Trucades d'Urgència 112 CatalunyaPresident/a que correspon al conseller/a del departament competent en seguretat públicaConsellera d'Interior i Seguretat Pública;Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya;ISP - Departament d'Interior i Seguretat Pública;President/a que correspon al conseller/a del departament competent en seguretat pública;President/a;Consellera d'Interior i Seguretat Pública;consellera d'Interior i Seguretat Pública;13760;;Departament d'Interior i Seguretat Pública;Núria Parlon Gil;
