Agència Catalana de l'Aigua (ACA)	Representant del departament competent en presidència	Directora general de Coordinació Interdepartamental del Departament de la Presidència	19784
Institut Català del Sòl (INCASÒL)	Representants de la Generalitat que assenyali el Govern	Directora general de Coordinació Interdepartamental	19784
Fundació Catalana per a la Recerca i la Innovació (FCRi)	Patró designat pel/per la titular del departament de la Generalitat competent en salut	Subdirectora geenral de Recerca i Innovació en Salut	17052
Fundació Institut d’Investigació en Ciències de la Salut Germans Trias i Pujol	Membre designat a proposta del propi Patronat	Sub-directora general de Recerca i Innovació en Salut	17052
Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI)	Membre designat per la persona titular del departament competent en matèria de salut	Sub-directora general de Recerca i Innovació en Salut	17052
Fundació de Recerca Clínic Barcelona-Institut d’Investigacions Biomèdiques August Pi i Sunyer (FRCB-IDIBAPS)	Persona designada pel/la titular del dept de la GC competent en matèria de salut	Subdirectora general de Recerca i Innovació en Salut 	17052
Consorci del Turó de la Seu Vella de Lleida	Departament de Cultura	Delegada Territorial del Govern de la Generalitat a Lleida	680
Consorci del Transport Públic de l'Àrea de Lleida, Autoritat Territorial de Mobilitat	El/la delegat/da del Govern en aquest àmbit territorial	Delegada territorial del Govern de la Generalitat a Lleida	680
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)	El/la titular del departament de la Generalitat competent en recerca que exercirà la vice. primera	Conseller de Recerca i Universitats	21648
Fundació Centre Tecnològic de Telecomunicacions de Catalunya (CTTC)	El/la president/a que correspon al/la titutar del departament de la Generalitat competent en recerca	Consellera del Departament de Recerca i Universitats	21648
Centre de Visió per Computador	El/la president/a, nomenat/da pel Govern a proposta dels depart. de recerca i politiques digitals	Persona titular del Departament de Recerca i Universitats	21648
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)	El president o presidenta de l’Agència - titular del departament competent en matèria d'universitats	Consellera del Departament de Recerca i Universitats	21648
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)	El/la titular del departament de la Generalitat competent en salut que exercirà la presidència	Conseller de Salut	2803
Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i Gurina	La persona titular del departament competent en matèria de salut, que exerceix la presidència	Consellera del Departament de Salut	2803
Institut Cartogràfic i Geològic de Catalunya	Persones en representació de la Generalitat, nomenades pels departaments que determini el Govern	Persona titular de la Direcció de Serveis del Departament de Territori, Habitatge i Transició Ecològ	3421
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya	Representants de I'Administració de Ia Generalitat de Catalunya	Secretari general del Departament d'Empresa i Treball	19780
Consorci Catalunya Internacional	Vocal nomenat pel titular del dept compet en mat acció ext, a prop titular dept compet empresa	Secretari general del Departament d’Empresa i Treball	19780
Consorci Fira Internacional de Barcelona	Vocal designat per la Generalitat de Catalunya	Secretari general del Departament d'Empresa i Treball	19780
Memorial Democràtic	Conseller/a del departament al qual és adscrit el Memorial Democràtic, que n'ocupa la presidència	Conseller de Justícia	13757
Consorci Memorial dels Espais de la Batalla de l'Ebre	El/la president/a del Consorci, titular del departament competent en matèria de memòria democràtica	Conseller de Justícia	13757
Centre d'Iniciatives per a la Reinserció	President/a El/la conseller/a del departament competent en matèria d'execució penal	Conseller del Departament de Justícia i Qualitat Democràtica	13757
Centre d'Estudis Jurídics i Formació Especialitzada	La presidència, que correspon a la persona titular del Departament de Justícia de la Generalitat	Conseller de Justícia	13757
Institut Català del Sòl (INCASÒL)	Representants de la Generalitat que assenyali el Govern	Secretari general del Departament de Drets Socials i Inclusió	19779
Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de Barcelona	Vocals en representació de la Generalitat de Catalunya	Secretari general del Departament de Drets Socials i Inclusió	19779
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya	Representants de I'Administració de Ia Generalitat de Catalunya	Secretari general del Departament de Drets Socials i Inclusió	19779
Institut Català de l'Acolliment i de l'Adopció	La persona titular de la Secretaria General del departament competent en la matèria d'acoll. i adop.	Secretari general del Departament de Drets Socials i Inclusió	19779
Institut Català de les Empreses Culturals	Vocals en representació del Departament competent en matèria de cultura	Director General de Política Lingüística en l'Àmbit Tecnològic i Audiovisual	23538
Fundació Centre de Recerca en Agrotecnologia, AGROTECNIO	La persona titular de la Secretaria d’Alimentació del dept de la Generalitat competent en matèria d'	Secretaria d’Alimentació del dept de la Generalitat competent en matèria d'agric i alimentació	21708
Institut de Recerca i Tecnologia Agroalimentàries (IRTA)	Vocal en representació del departament competent en matèria d'agricultura i alimentació	Secretària d'Alimentació del Departament d'Agricultura, Ramaderia, Pesca i Alimentació	21708
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya	Representants de la Corporació Catalana de Mitjans Audiovisuals	Presidenta del Consell d'Administració de la Corporació Catalana de Mitjans Audiovisuals	7692
Institut Català de les Empreses Culturals	Vocal en representació del departament competent matèria de noves tecnologies	Directora general de Societat Digital	19934
Institut per al Desenvolupament i la Promoció de l'Alt Pirineu i Aran	Membre determinat pel Govern en representació de la Generalitat	Delegada territorial del Govern de la Generalitat a l'Alt Pirineu i Aran	15433
Agència Catalana del Patrimoni Cultural	Vocals en representació de diversos departaments de la Generalitat	Directora general d'Innovació, Digitalització i Currículum	20884
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya	Representants de I'Administració de Ia Generalitat de Catalunya	Secretària general del Departament d’Igualtat i Feminisme	21649
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya	Persona titular de la unitat direct compet en afers consultius i coord jurídica del Gabinet Jurídic	Directora general de Serveis Consultius i Coordinació Jurídica del Gabinet Jurídic	12768
Fundació Hospital Universitari Vall d'Hebron-Institut de Recerca (VHIR)	Membre desginat pel titular del departament de la Generalitat competent en matèria de recerca	Directora general de Recerca del Departament de Recerca i Universitats de la Generalitat de Cataluny	139
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)	Fins a un màxim de cinc vocals designats pel conseller/a del departament competent en universitats	Directora general de Recerca del Departament de Recerca i Universitats	139
Agència de Ciberseguretat de Catalunya	El/la vicepresident/a segon/a, que és el secretari/ària del dept competent en mat. de. seguretat púb	Secretari general del Departament d'Interior i Seguretat Pública	15650
Institut de Seguretat Pública de Catalunya	Secretari o secretària competent en matèria de seguretat ciutadana	Secretari general del Departament d'Interior i Seguretat Pública	15650
Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya	El secretari/ària general del departament competent en matèria de seguretat pública	Secretari general del Departament d'Interior i Seguretat Pública	15650
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya	Representants de I'Administració de Ia Generalitat de Catalunya	Secretari general del Departament d'Interior i Seguretat Pública	15650
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya	Persona titular de l’Oficina del Govern	Directora de l'Oficina Govern	542
Agència de l'Habitatge de Catalunya	Persones que determini el Govern en representació de la Generalitat i entitats relacionades	Secretari de Governs Locals i Relacions amb l'Aran	19033
Agència Catalana de l'Aigua (ACA)	Representant del departament competent en administracions locals	Secretari de Governs Locals i de Relacions amb l'Aran	19033
Fundació Mediterrània, Fira d'Espectacles d'Arrel Tradicional	Membre designat per la Generalitat a través del Departament de Cultura	Cap del Serveis Territorials de Cultura a la Catalunya Central	15720
Consorci per a la Normalització Lingüística	Vocal, fins a un màxim de 10, designat per l’Administració de la Generalitat	Cap del Serveis Territorials a la Catalunya Central	15720
Institució de les Lletres Catalanes	Vocal representant del departament de la Generalitat competent en matèria de cultura	Director general de Promoció Cultural i Biblioteques	2340
Biblioteca de Catalunya	Vocals proposats pel/per la director/a general competent en matèria de patrimoni cultural	Director general de Promoció Cultural i Biblioteques	2340
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya	Persona titular de la unitat directiva competent en matèria de promoció cultural	Director general de Promoció Cultural i Biblioteques	2340
Consorci de l'Auditori i l'Orquestra	Vocal designat/da pe la persona titular del Departament de Cultura	Director general de Promoció Cultural i Biblioteques	2340
Consorci Mercat de les Flors	Vocal nomenat pel departament de la Generalitat competent en matèria de cultura	Director general de Promoció Cultural i Biblioteques	2340
Fundació Mediterrània, Fira d'Espectacles d'Arrel Tradicional	Membre designat per la Generalitat a través del Departament de Cultura	Director general de Promoció Cultural i Biblioteques	2340
Consorci de l'Institut Ramon Llull	Representants de l'Administració de la Generalitat de Catalunya designats pel Govern	Director general de Promoció Cultural i Biblioteques	2340
Oficina de Suport a la Iniciativa Cultural	Persones representants direccions generals en què s'estructura departament comp en matèria cultura	Director general de Promoció Cultural i Biblioteques	2340
Institut Català de les Empreses Culturals	Vocals en representació del Departament competent en matèria de cultura	Director general de Promoció Cultural i Biblioteques	2340
Consorci Museu d'Art Contemporani de Barcelona	Vocals designats per la Generalitat de Catalunya	Director general de Promoció Cultural i Biblioteques	2340
Fundació del Gran Teatre del Liceu	Patró designat per l'Administració de la Generalitat de Catalunya	Director general de Promoció Cultural i Biblioteques	2340
Consorci del Transport Públic de l'Àrea de Girona, Autoritat Territorial de Mobilitat	El/la delegat/da del Govern a Girona	Delega territorial del Govern de la Generalitat a Girona	674
